"고정형CCTV지번주소","위도","경도","자치구","단속지점명","현장구분"
"삼성동 21","37.51659","127.05123","강남구","[삼성2-103] 한섬빌딩 주변","불법주정차구역"
"삼성동 44-18","37.51196","127.04909","강남구","[삼성2-105] 성우빌딩 주변","불법주정차구역"
"신사동 638-6","37.5289","127.03567","강남구","[압구정-102] 동건빌딩 주변","불법주정차구역"
"신사동 639-4","37.52864","127.0368","강남구","[압구정-103] 세진성형외과 주변","불법주정차구역"
"신사동 660-8","37.52828","127.03827","강남구","[압구정-104] 한양상가(로데오입구) 주변","불법주정차구역"
"청담동 76","37.51973","127.04995","강남구","[청담-106] 리임빌딩 주변","불법주정차구역"
"율현동 101-13","37.46973","127.11818","강남구","[세곡-102] 자동차매매시장3 주변","불법주정차구역"
"율현동 114-1","37.46927","127.12084","강남구","[세곡-103] 자동차매매시장2 주변","불법주정차구역"
"율현동 126-8","37.46874","127.11988","강남구","[세곡-104] 자동차매매시장1 주변","불법주정차구역"
"삼성동 159-6","37.50927","127.05877","강남구","[삼성1-105] 한국도심공항 주변","불법주정차구역"
"삼성동 11-7","37.515194","127.047202","강남구","[삼성2-117] 롯데캐슬아파트 주변","불법주정차구역"
"논현동 21-1","37.51475","127.02097","강남구","[논현1-112] 스튜디오뉴빌 주변","불법주정차구역"
"논현동 62","37.52068","127.03194","강남구","[논현2-105] 조일빌딩 주변","불법주정차구역"
"대치동 1024","37.496453","127.055233","강남구","[대치1-105] 디마크빌딩 주변","불법주정차구역"
"대치동 985","37.50033","127.06484","강남구","[대치2-103] 대치레미안하이스턴 주변","불법주정차구역"
"대치동 989-2","37.49924","127.06252","강남구","[대치2-104] 성창빌딩 주변","불법주정차구역"
"대치동 962-21","37.50141","127.05975","강남구","[대치2-108] 대치현대아파트상가 주변","불법주정차구역"
"대치동 940-3","37.49807","127.05793","강남구","[대치4-102] 쌍용자동차대치전시장 주변","불법주정차구역"
"수서동 724","37.48747","127.10266","강남구","[수서-101] 로즈데일오피스텔 주변","불법주정차구역"
"신사동 651-21","37.52284","127.03727","강남구","[압구정-101] 씨네시티빌딩 주변","불법주정차구역"
"신사동 630-3","37.52236","127.03569","강남구","[압구정-106] 도산공원입구 주변","불법주정차구역"
"역삼동 677-25","37.50236","127.04099","강남구","[역삼1-103] 큰길타워 주변","불법주정차구역"
"역삼동 700-6","37.50431","127.04221","강남구","[역삼1-113] 효림빌딩 주변","불법주정차구역"
"역삼동 826-14","37.49481","127.02942","강남구","[역삼1-122] KTB네트워크빌딩 주변","불법주정차구역"
